id,cases
1,1
2,2
3,3
4,3
5,3
6,3
7,3
8,5
9,6
10,28
11,30
12,34
13,39
14,44
15,50
16,60
17,73
18,81
19,110
20,114
21,137
22,142
23,244
24,283
25,360
26,415
27,511
28,562
29,680
30,887
31,987
32,1024
33,1251
34,1590
35,2032
36,2567
37,3082
38,3588
39,4314
40,4858
41,5360
42,5916
43,7600
44,8446
45,9025
46,10453
47,10541
48,12456
49,13430
50,15722
51,17615
52,18658
53,20417
54,21797
55,24530
56,26283
57,29451
58,31332
59,33062
60,35043
61,37336
62,39980
63,42670
64,46476
65,49436
66,53045
67,56516
68,59765
69,62939
70,67259
71,70827
72,74480
73,78194
74,82103
75,90615
76,96169
77,101261
78,112442
79,124073
80,131442
81,138535
82,139049
83,207615
84,333257
85,440461
86,549035
87,720346
88,879454
89,1154900
90,1482490
91,1855331
92,2217649
93,2835822
94,3940131
95,4566726
96,5219211
97,5823060
98,6397896
99,6964041
100,7429233
101,7781746
102,8089593
103,8411034
104,8728624
105,9004324
106,9309871
107,9571808
108,9797065
109,9977834
110,10147468
111,10286310
112,10414044
113,10528508
114,10626223
115,10720973
116,10839100
117,10880413
118,10963257
119,11063075
120,11173573
121,11308646
122,11513989
123,11846096
124,12302110
125,13057955
126,14287926
127,16257507
128,17625880
129,17988793
130,18368331
131,18755105
132,19157197
133,19549775
134,20275632
135,21071103
136,21485383
137,21892285
138,22296093
139,22662548
140,22992039
141,23340592
142,23703224
143,24046229
144,24372485
145,24638242
146,24965379
147,25495346
148,25771539
149,26030781
150,26288080
151,26528977
152,26571811
153,26947621
154,27156660







